E:\Python_projects\detect\train_imgs\square\pos\1.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\2.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\3.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\4.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\5.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\6.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\7.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\8.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\9.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\10.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\11.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\12.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\13.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\14.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\15.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\16.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\17.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\18.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\19.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\20.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\21.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\22.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\23.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\24.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\25.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\26.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\27.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\28.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\29.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\30.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\31.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\32.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\33.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\34.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\35.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\36.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\37.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\38.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\39.jpg 1 0 0 30 30
E:\Python_projects\detect\train_imgs\square\pos\40.jpg 1 0 0 30 30
